Index,Date,Open,High,Low,Close,Adj Close,Volume
KS11,20-02-1997,713.5,716.179993,707.830017,711.130005,711.130005,35000
KS11,21-02-1997,710.869995,711.75,686.710022,686.719971,686.719971,30800
KS11,24-02-1997,681.47998,686.940002,676.109985,676.590027,676.590027,24100
KS11,25-02-1997,676.72998,682.809998,670.409973,682.809998,682.809998,25300
KS11,26-02-1997,683.590027,691.27002,679.659973,679.710022,679.710022,29900
KS11,27-02-1997,678.109985,679.799988,668.710022,669.409973,669.409973,30300
KS11,28-02-1997,669.01001,679.070007,664.75,676.530029,676.530029,37800
KS11,03-03-1997,677.179993,684.440002,677.179993,679.640015,679.640015,27000
KS11,04-03-1997,679.51001,683.320007,675.820007,679.969971,679.969971,28100
KS11,05-03-1997,680.47998,684.549988,673.630005,674.900024,674.900024,38800
KS11,06-03-1997,675.25,685.950012,675.25,678.109985,678.109985,41300
KS11,07-03-1997,679.830017,685.26001,679.830017,681.219971,681.219971,37400
KS11,10-03-1997,673.909973,674.289978,667.289978,667.349976,667.349976,29400
KS11,11-03-1997,665.830017,665.830017,654.919983,655.950012,655.950012,29800
KS11,12-03-1997,655.76001,663.900024,655.070007,663.900024,663.900024,30000
KS11,13-03-1997,663.909973,666.26001,656.859985,657.900024,657.900024,32100
KS11,14-03-1997,657.72998,657.97998,641.830017,642.080017,642.080017,27600
KS11,17-03-1997,642.169983,658.940002,641.039978,658.900024,658.900024,28400
KS11,18-03-1997,659.72998,663.700012,653.25,657.969971,657.969971,30500
KS11,19-03-1997,656.900024,656.900024,643.039978,646.289978,646.289978,33000
KS11,20-03-1997,642.72998,646.72998,630.369995,642.859985,642.859985,34100
KS11,21-03-1997,640.52002,640.52002,626.390015,627.630005,627.630005,34200
KS11,24-03-1997,622.140015,622.390015,607.869995,617.26001,617.26001,36200
KS11,25-03-1997,616.109985,638.900024,614.98999,638.900024,638.900024,43000
KS11,26-03-1997,640.450012,656.780029,637.359985,656.619995,656.619995,44000
KS11,27-03-1997,657.099976,665.570007,651.590027,651.650024,651.650024,45600
KS11,28-03-1997,652.880005,661.549988,650.719971,652.869995,652.869995,40700
KS11,31-03-1997,670.75,678.76001,670.75,677.340027,677.340027,44000
KS11,01-04-1997,678.969971,688.119995,672.070007,672.98999,672.98999,38600
KS11,02-04-1997,672.820007,683.320007,668.719971,678.859985,678.859985,36300
KS11,03-04-1997,680.140015,689.119995,676.440002,678.73999,678.73999,41700
KS11,04-04-1997,679.880005,688.059998,679.140015,687.419983,687.419983,40600
KS11,07-04-1997,688.880005,699.02002,688.880005,694.900024,694.900024,40700
KS11,08-04-1997,695.349976,699.070007,687.869995,694.969971,694.969971,40100
KS11,09-04-1997,695.859985,699.700012,694.549988,698.659973,698.659973,43800
KS11,10-04-1997,698.880005,700.059998,688.039978,688.039978,688.039978,46100
