Index,Date,Open,High,Low,Close,Adj Close,Volume
399001.SZ,13-12-2011,9343.240234,9367.75,9175.169922,9190.879883,9190.777344,50500
399001.SZ,14-12-2011,9164.209961,9234.679688,9064.629883,9093.030273,9092.927734,33300
399001.SZ,15-12-2011,9041.05957,9041.05957,8850.469727,8871.089844,8870.990234,56900
399001.SZ,16-12-2011,8864.950195,9081.94043,8849.799805,9081.94043,9081.837891,55800
399001.SZ,19-12-2011,9002.679688,9089.870117,8808.660156,9054.080078,9053.979492,54500
399001.SZ,20-12-2011,9020.969727,9166.660156,9013.349609,9031.669922,9031.569336,48700
399001.SZ,21-12-2011,9111.320313,9147.219727,8884.25,8884.25,8884.150391,42300
399001.SZ,22-12-2011,8828.620117,8992.019531,8710.570313,8909.349609,8909.25,47400
399001.SZ,23-12-2011,8899.219727,9100.290039,8866.639648,8976.519531,8976.418945,48700
399001.SZ,26-12-2011,8931.580078,9038.139648,8875.099609,8876.19043,8876.09082,32900
399001.SZ,27-12-2011,8876.620117,8904.950195,8692.379883,8711.549805,8711.452148,50000
399001.SZ,28-12-2011,8667.330078,8746.540039,8555.120117,8739.730469,8739.632813,50000
399001.SZ,29-12-2011,8693.139648,8831.799805,8682.610352,8781.320313,8781.222656,45600
399001.SZ,30-12-2011,8805.410156,8942.860352,8805.410156,8918.820313,8918.720703,53200
399001.SZ,04-01-2012,8980.759766,9025.660156,8695.200195,8695.990234,8695.892578,53500
399001.SZ,05-01-2012,8653.099609,8744.219727,8566.05957,8600.259766,8600.163086,53600
399001.SZ,06-01-2012,8597.370117,8643.290039,8486.580078,8634.419922,8634.323242,49900
399001.SZ,09-01-2012,8638.530273,8946.879883,8532.669922,8946.080078,8945.979492,78200
399001.SZ,10-01-2012,8930.55957,9291.30957,8909.25,9281.25,9281.146484,112300
399001.SZ,11-01-2012,9278.049805,9312.05957,9186.160156,9239.209961,9239.106445,85500
399001.SZ,12-01-2012,9191.540039,9344.740234,9177.589844,9200.929688,9200.826172,67100
399001.SZ,13-01-2012,9216.959961,9258.30957,8951.719727,9030.589844,9030.489258,61400
399001.SZ,16-01-2012,8951.179688,9024.419922,8823.799805,8827.469727,8827.370117,50000
399001.SZ,17-01-2012,8835.879883,9305.419922,8762.570313,9264.089844,9263.986328,93800
399001.SZ,18-01-2012,9326.44043,9399.019531,9085.040039,9115.269531,9115.166992,98500
399001.SZ,19-01-2012,9119.879883,9363.049805,9078.980469,9300.219727,9300.116211,90900
399001.SZ,20-01-2012,9348.450195,9503.370117,9259.019531,9466.139648,9466.03418,95600
399001.SZ,30-01-2012,9482.209961,9482.209961,9274.849609,9274.849609,9274.746094,62400
399001.SZ,31-01-2012,9278.089844,9324.80957,9213.139648,9303.650391,9303.546875,40600
399001.SZ,01-02-2012,9277.790039,9403.370117,9173.070313,9193.389648,9193.287109,50100
399001.SZ,02-02-2012,9222.240234,9382.129883,9174.719727,9382.129883,9382.024414,55300
399001.SZ,03-02-2012,9349.280273,9472.019531,9292.780273,9436.990234,9436.884766,61400
399001.SZ,06-02-2012,9451.169922,9526.790039,9404.490234,9448.639648,9448.53418,60200
399001.SZ,07-02-2012,9393.759766,9393.759766,9206.860352,9266.709961,9266.606445,53400
399001.SZ,08-02-2012,9259.639648,9605.200195,9236.160156,9557.580078,9557.472656,77000
399001.SZ,09-02-2012,9548.219727,9630.349609,9493.929688,9560.730469,9560.623047,84900
